name,year,genre,duration,rating,url
The Lion King,1994,Animation,1h 28m,8.5,https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt
The Usual Suspects,1995,Crime,1h 46m,8.5,https://www.imdb.com/title/tt0114814/?ref_=adv_li_tt
Grave of the Fireflies,1988,Animation,1h 29m,8.5,https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt
American History X,1998,Crime,1h 59m,8.5,https://www.imdb.com/title/tt0120586/?ref_=adv_li_tt
Cinema Paradiso,1988,Drama,2h 35m,8.5,https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt
Gladiator,2000,Action,2h 35m,8.5,https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt
Léon: The Professional,1994,Action,1h 50m,8.5,https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt
The Shawshank Redemption,1994,Drama,2h 22m,9.3,https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt
The Pianist,2002,Biography,2h 30m,8.5,https://www.imdb.com/title/tt0253474/?ref_=adv_li_tt
The Prestige,2006,Drama,2h 10m,8.5,https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt
The Departed,2006,Crime,2h 31m,8.5,https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt
Whiplash,2014,Drama,1h 46m,8.5,https://www.imdb.com/title/tt2582802/?ref_=adv_li_tt
Parasite,2019,Drama,2h 12m,8.5,https://www.imdb.com/title/tt6751668/?ref_=adv_li_tt
The Intouchables,2011,Biography,1h 52m,8.5,https://www.imdb.com/title/tt1675434/?ref_=adv_li_tt
Seven Samurai,1954,Action,3h 27m,8.6,https://www.imdb.com/title/tt0047478/?ref_=adv_li_tt
It's a Wonderful Life,1946,Drama,2h 10m,8.6,https://www.imdb.com/title/tt0038650/?ref_=adv_li_tt
The Dark Knight Rises,2012,Action,2h 44m,8.4,https://www.imdb.com/title/tt1345836/?ref_=adv_li_tt
Top Gun: Maverick,2022,Action,2h 10m,8.4,https://www.imdb.com/title/tt1745960/?ref_=adv_li_tt
Avengers: Endgame,2019,Action,3h 1m,8.4,https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt
Django Unchained,2012,Drama,2h 45m,8.4,https://www.imdb.com/title/tt1853728/?ref_=adv_li_tt
Joker,2019,Crime,2h 2m,8.4,https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt
Capernaum,2018,Drama,2h 6m,8.4,https://www.imdb.com/title/tt8267604/?ref_=adv_li_tt
City Lights,1931,Comedy,1h 27m,8.5,https://www.imdb.com/title/tt0021749/?ref_=adv_li_tt
Your Name.,2016,Animation,1h 46m,8.4,https://www.imdb.com/title/tt5311514/?ref_=adv_li_tt
Modern Times,1936,Comedy,1h 27m,8.5,https://www.imdb.com/title/tt0027977/?ref_=adv_li_tt
Casablanca,1942,Drama,1h 42m,8.5,https://www.imdb.com/title/tt0034583/?ref_=adv_li_tt
Apocalypse Now,1979,Drama,2h 27m,8.5,https://www.imdb.com/title/tt0078788/?ref_=adv_li_tt
Hamilton,2020,Biography,2h 40m,8.4,https://www.imdb.com/title/tt8503618/?ref_=adv_li_tt
Life Is Beautiful,1997,Comedy,1h 56m,8.6,https://www.imdb.com/title/tt0118799/?ref_=adv_li_tt
The Silence of the Lambs,1991,Crime,1h 58m,8.6,https://www.imdb.com/title/tt0102926/?ref_=adv_li_tt
Se7en,1995,Crime,2h 7m,8.6,https://www.imdb.com/title/tt0114369/?ref_=adv_li_tt
Harakiri,1962,Action,2h 13m,8.6,https://www.imdb.com/title/tt0056058/?ref_=adv_li_tt
No Country for Old Men,2007,Crime,2h 2m,8.2,https://www.imdb.com/title/tt0477348/?ref_=adv_li_tt
There Will Be Blood,2007,Drama,2h 38m,8.2,https://www.imdb.com/title/tt0469494/?ref_=adv_li_tt
My Father and My Son,2005,Drama,1h 52m,8.2,https://www.imdb.com/title/tt0476735/?ref_=adv_li_tt
The Wolf of Wall Street,2013,Biography,3h,8.2,https://www.imdb.com/title/tt0993846/?ref_=adv_li_tt
Inside Out,2015,Animation,1h 35m,8.2,https://www.imdb.com/title/tt2096673/?ref_=adv_li_tt
The Father,2020,Drama,1h 37m,8.2,https://www.imdb.com/title/tt10272386/?ref_=adv_li_tt
The Secret in Their Eyes,2009,Drama,2h 9m,8.2,https://www.imdb.com/title/tt1305806/?ref_=adv_li_tt
Warrior,2011,Action,2h 20m,8.2,https://www.imdb.com/title/tt1291584/?ref_=adv_li_tt
The Kid,1921,Comedy,1h 8m,8.3,https://www.imdb.com/title/tt0012349/?ref_=adv_li_tt
Green Book,2018,Biography,2h 10m,8.2,https://www.imdb.com/title/tt6966692/?ref_=adv_li_tt
1917,2019,Action,1h 59m,8.2,https://www.imdb.com/title/tt8579674/?ref_=adv_li_tt
Bicycle Thieves,1948,Drama,1h 29m,8.3,https://www.imdb.com/title/tt0040522/?ref_=adv_li_tt
Metropolis,1927,Drama,2h 33m,8.3,https://www.imdb.com/title/tt0017136/?ref_=adv_li_tt
Citizen Kane,1941,Drama,1h 59m,8.3,https://www.imdb.com/title/tt0033467/?ref_=adv_li_tt
Double Indemnity,1944,Crime,1h 47m,8.3,https://www.imdb.com/title/tt0036775/?ref_=adv_li_tt
Before Sunset,2004,Drama,1h 20m,8.1,https://www.imdb.com/title/tt0381681/?ref_=adv_li_tt
Ikiru,1952,Drama,2h 23m,8.3,https://www.imdb.com/title/tt0044741/?ref_=adv_li_tt
Hotel Rwanda,2004,Biography,2h 1m,8.1,https://www.imdb.com/title/tt0395169/?ref_=adv_li_tt
Million Dollar Baby,2004,Drama,2h 12m,8.1,https://www.imdb.com/title/tt0405159/?ref_=adv_li_tt
Mary and Max,2009,Animation,1h 32m,8.1,https://www.imdb.com/title/tt0978762/?ref_=adv_li_tt
Gran Torino,2008,Drama,1h 56m,8.1,https://www.imdb.com/title/tt1205489/?ref_=adv_li_tt
The Help,2011,Drama,2h 26m,8.1,https://www.imdb.com/title/tt1454029/?ref_=adv_li_tt
